icd_category,icd_code,icd_version,icd_desc,icd_duplicate,ccsr_category
pvl,S069X0A,10,"Unspecified intracranial injury without loss of consciousness, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S069X1A,10,"Unspecified intracranial injury with loss of consciousness of 30 minutes or less, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S069X2A,10,"Unspecified intracranial injury with loss of consciousness of 31 minutes to 59 minutes, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S069X3A,10,"Unspecified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S069X4A,10,"Unspecified intracranial injury with loss of consciousness of 6 hours to 24 hours, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S069X5A,10,"Unspecified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S069X6A,10,"Unspecified intracranial injury with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
pvl,S069X9A,10,"Unspecified intracranial injury with loss of consciousness of unspecified duration, initial encounter",0,"Traumatic brain injury (TBI); concussion, initial encounter"
rop345,36225,9,RETINOPH PREMATRSTAGE 3 (Begin 2008),0,Retinal detachments; defects; vascular occlusion; and retinopathy
rop345,36226,9,RETINOPH PREMATR.STAGE 4 (Begin 2008),0,Retinal detachments; defects; vascular occlusion; and retinopathy
rop345,36227,9,RETINOPH PREMATRSTAGE 5 (Begin 2008),0,Retinal detachments; defects; vascular occlusion; and retinopathy
rop345,H35141,10,"Retinopathy of prematurity, stage 3, right eye",0,Retinal and vitreous conditions
rop345,H35142,10,"Retinopathy of prematurity, stage 3, left eye",0,Retinal and vitreous conditions
rop345,H35143,10,"Retinopathy of prematurity, stage 3, bilateral",0,Retinal and vitreous conditions
rop345,H35149,10,"Retinopathy of prematurity, stage 3, unspecified eye",0,Retinal and vitreous conditions
rop345,H35151,10,"Retinopathy of prematurity, stage 4, right eye",0,Retinal and vitreous conditions
rop345,H35152,10,"Retinopathy of prematurity, stage 4, left eye",0,Retinal and vitreous conditions
rop345,H35153,10,"Retinopathy of prematurity, stage 4, bilateral",0,Retinal and vitreous conditions
rop345,H35159,10,"Retinopathy of prematurity, stage 4, unspecified eye",0,Retinal and vitreous conditions
rop345,H35161,10,"Retinopathy of prematurity, stage 5, right eye",0,Retinal and vitreous conditions
rop345,H35162,10,"Retinopathy of prematurity, stage 5, left eye",0,Retinal and vitreous conditions
rop345,H35163,10,"Retinopathy of prematurity, stage 5, bilateral",0,Retinal and vitreous conditions
rop345,H35169,10,"Retinopathy of prematurity, stage 5, unspecified eye",0,Retinal and vitreous conditions
shunt,V452,9,VENTRICULAR SHUNT STATUS,0,Other nervous system disorders
shunt,Z982,10,Presence of cerebrospinal fluid drainage device,0,"Implant, device or graft related encounter"
ventilation,V4611,9,RESPIRATOR DEPEND STATUS (Begin 2004),0,Respiratory failure; insufficiency; arrest (adult)
ventilation,V462,9,OTHR DEPEND ON MACHINES/SUPPL OXYGEN (Begin 2002),0,Respiratory failure; insufficiency; arrest (adult)
ventilation,Z9911,10,Dependence on respirator [ventilator] status,0,Other specified status
ventilation,Z9981,10,Dependence on supplemental oxygen,0,Other specified status
